<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
AFLT;D;20170103;000000;153.98;157.95;151.33;151.68;3548200;0
AFLT;D;20170104;000000;152.87;153.27;148.01;148.4;4469800;0
AFLT;D;20170105;000000;149.02;150.04;148.01;148.01;3250500;0
AFLT;D;20170106;000000;148.21;148.69;146.16;146.31;2184900;0
AFLT;D;20170109;000000;147.02;149.7;143.03;143.13;4593900;0
AFLT;D;20170110;000000;143.21;148.64;140;148.07;4136100;0
AFLT;D;20170111;000000;148.07;150.48;145.23;147.03;5031900;0
AFLT;D;20170112;000000;147.5;157.91;145.71;157.91;8190600;0
AFLT;D;20170113;000000;157.23;161.6;154.78;156.9;8317800;0
AFLT;D;20170116;000000;157.3;160.45;155.22;159.01;3097100;0
AFLT;D;20170117;000000;159.77;160;156.56;158.63;3328900;0
AFLT;D;20170118;000000;159.3;164.95;158.29;163.54;6540600;0
AFLT;D;20170119;000000;163;164.33;158.72;160.85;4848200;0
AFLT;D;20170120;000000;160;162.83;158.02;160.5;3319700;0
AFLT;D;20170123;000000;160.5;161.36;158.71;160.2;1791900;0
AFLT;D;20170124;000000;159.02;161.65;159.02;161.4;2681900;0
AFLT;D;20170125;000000;161.3;166.93;160.96;166.71;5197600;0
AFLT;D;20170126;000000;166.61;169.13;165.09;165.5;3444000;0
AFLT;D;20170127;000000;165.5;168.5;165.05;168.5;3310700;0
AFLT;D;20170130;000000;168.5;172;167.31;170.9;3782400;0
AFLT;D;20170131;000000;171.3;174.17;171;174.17;2981700;0
AFLT;D;20170201;000000;174.15;175.4;171.55;175;2754000;0
AFLT;D;20170202;000000;175.25;178.1;174.45;176.9;3607000;0
AFLT;D;20170203;000000;177.1;179.5;173.15;178.5;5301600;0
AFLT;D;20170206;000000;178.55;179.8;175.6;179;3018100;0
AFLT;D;20170207;000000;177.2;177.6;170.25;173.5;6429900;0
AFLT;D;20170208;000000;172.35;173.85;170.75;172;3395100;0
