<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FIXP;D;20210310;000000;724.5;757;712.2;716.9;2614386;0
FIXP;D;20210311;000000;725;725.2;671;717;1277701;0
FIXP;D;20210312;000000;720.9;721;701.1;715.5;461094;0
FIXP;D;20210315;000000;720;720;703.6;704.9;955647;0
FIXP;D;20210316;000000;708;709.4;696;697.9;612052;0
FIXP;D;20210317;000000;700;710;674.7;709.2;1268379;0
FIXP;D;20210318;000000;710.7;716.8;706;716;123370;0
FIXP;D;20210319;000000;716;717;706;716.3;96594;0
FIXP;D;20210322;000000;708.3;721.7;708.2;718;133633;0
FIXP;D;20210323;000000;719.9;729.9;718;728;595857;0
FIXP;D;20210324;000000;728.6;733;723.1;732.5;514477;0
FIXP;D;20210325;000000;732.5;742;727.2;739.9;351102;0
FIXP;D;20210326;000000;739.9;743.5;717;738.7;175611;0
FIXP;D;20210329;000000;741.4;741.5;733.4;739;134097;0
FIXP;D;20210330;000000;739;742.6;736.4;741.4;258862;0
FIXP;D;20210331;000000;743;743;732.9;737;79952;0
FIXP;D;20210401;000000;737.7;744;736.8;743;176398;0
FIXP;D;20210402;000000;744.8;745;736;738.9;33737;0
FIXP;D;20210405;000000;738.9;742;721.6;724.3;70271;0
FIXP;D;20210406;000000;728;743.9;710;713;128841;0
FIXP;D;20210407;000000;714.8;716.7;701;704.4;112190;0
FIXP;D;20210408;000000;707.9;727.1;705;716.8;93420;0
FIXP;D;20210409;000000;724;726.8;715;720;58998;0
FIXP;D;20210412;000000;718;735.5;718;735.3;187507;0
FIXP;D;20210413;000000;735.5;739.5;728;731.1;128537;0
FIXP;D;20210414;000000;735;738;715.1;725;101958;0
FIXP;D;20210415;000000;730;741;728.2;730.9;158744;0
FIXP;D;20210416;000000;735;741;720.2;727.9;242509;0
FIXP;D;20210419;000000;730.2;740.9;723.5;732.6;140264;0
FIXP;D;20210420;000000;738;740;727;738;161679;0
FIXP;D;20210421;000000;738;741.5;727.5;733;157291;0
FIXP;D;20210422;000000;738.6;738.6;722.2;730;138426;0
FIXP;D;20210423;000000;732.9;733;716.2;717;140002;0
FIXP;D;20210426;000000;717.3;723;710;713.8;121599;0
FIXP;D;20210427;000000;723.9;723.9;705.1;710.3;254812;0
FIXP;D;20210428;000000;710.4;716;706;706;264325;0
FIXP;D;20210429;000000;708.9;718.8;690.2;707.9;353209;0
FIXP;D;20210430;000000;708;714.5;704;704.1;275638;0
FIXP;D;20210504;000000;710;710;703;703;445899;0
FIXP;D;20210505;000000;705;705;702;702.9;282564;0
FIXP;D;20210506;000000;702;703;695;698.2;664422;0
FIXP;D;20210507;000000;700;700;690;691.4;380018;0
FIXP;D;20210510;000000;691.4;709.6;690.5;708.4;71817;0
FIXP;D;20210511;000000;707.9;709;697;699.2;61632;0
FIXP;D;20210512;000000;702.9;705;691;699.3;95797;0
FIXP;D;20210513;000000;702.1;702.9;679;679.2;701317;0
FIXP;D;20210514;000000;676;690.9;676;685.9;66973;0
FIXP;D;20210517;000000;688.9;692;675;675;252815;0
FIXP;D;20210518;000000;675.4;683.8;675.1;682;46166;0
FIXP;D;20210519;000000;682;701;675;684.6;180550;0
FIXP;D;20210520;000000;685.8;687.5;660.1;662.4;93674;0
FIXP;D;20210521;000000;662.5;676;646;663.7;126360;0
FIXP;D;20210524;000000;660.3;672.3;651;664.4;56463;0
FIXP;D;20210525;000000;668;677;652.1;653.2;88621;0
FIXP;D;20210526;000000;653.2;653.5;635;640;122997;0
FIXP;D;20210527;000000;643.4;644.8;609.5;612;137476;0
FIXP;D;20210528;000000;618.1;622;589;598;195804;0
FIXP;D;20210531;000000;600;643.6;600;622.7;156991;0
FIXP;D;20210601;000000;632.9;633.3;610.2;623.5;114544;0
FIXP;D;20210602;000000;623.5;630.5;623.5;629.5;43956;0
FIXP;D;20210603;000000;629.4;655;625.4;642.5;192230;0
FIXP;D;20210604;000000;642.5;653.9;627.5;628.6;135800;0
FIXP;D;20210607;000000;633.9;633.9;624;625;66800;0
FIXP;D;20210608;000000;625;626.7;613.9;613.9;51195;0
FIXP;D;20210609;000000;628.5;628.5;615.6;619;121845;0
