<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
GMKN;D;20170103;000000;10123;10350;10123;10245;187145;0
GMKN;D;20170104;000000;10245;10286;9990;10195;150167;0
GMKN;D;20170105;000000;10205;10250;9918;10025;113456;0
GMKN;D;20170106;000000;10025;10060;9937;10040;76996;0
GMKN;D;20170109;000000;10063;10131;10038;10115;59446;0
GMKN;D;20170110;000000;10134;10398;10116;10397;155362;0
GMKN;D;20170111;000000;10325;10457;10281;10439;127176;0
GMKN;D;20170112;000000;10399;10435;9832;9994;611509;0
GMKN;D;20170113;000000;10019;10090;9642;9756;346521;0
GMKN;D;20170116;000000;9779;9854;9702;9761;136911;0
GMKN;D;20170117;000000;9749;9780;9600;9615;169780;0
GMKN;D;20170118;000000;9625;9650;9510;9549;157984;0
GMKN;D;20170119;000000;9550;9638;9515;9590;135387;0
GMKN;D;20170120;000000;9565;9570;9341;9360;207962;0
GMKN;D;20170123;000000;9390;9482;9326;9424;135490;0
GMKN;D;20170124;000000;9440;9519;9355;9486;251091;0
GMKN;D;20170125;000000;9498;9545;9442;9535;182688;0
GMKN;D;20170126;000000;9555;9839;9540;9790;275406;0
GMKN;D;20170127;000000;9710;9837;9700;9792;148086;0
GMKN;D;20170130;000000;9791;9889;9710;9772;112137;0
GMKN;D;20170131;000000;9760;9827;9622;9629;137944;0
GMKN;D;20170201;000000;9662;9860;9646;9848;163459;0
GMKN;D;20170202;000000;9862;10288;9823;10255;503321;0
GMKN;D;20170203;000000;10211;10235;10000;10089;252133;0
GMKN;D;20170206;000000;10100;10155;9880;9922;174682;0
GMKN;D;20170207;000000;9930;10143;9880;10136;170697;0
GMKN;D;20170208;000000;10155;10238;10051;10135;181642;0
GMKN;D;20170209;000000;10137;10164;9940;9999;118463;0
GMKN;D;20170210;000000;10019;10072;9902;10072;118992;0
GMKN;D;20170213;000000;10111;10135;9805;9890;176477;0
GMKN;D;20170214;000000;9870;9900;9683;9740;141314;0
GMKN;D;20170215;000000;9743;9996;9574;9940;248021;0
GMKN;D;20170216;000000;9965;10045;9830;9957;168824;0
