<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
LKOH;D;20170103;000000;3445;3582;3442.5;3575;700138;0
LKOH;D;20170104;000000;3560;3560;3456;3479.5;503239;0
LKOH;D;20170105;000000;3484;3494;3367.5;3379;648238;0
LKOH;D;20170106;000000;3380.5;3404.5;3337;3365;336808;0
LKOH;D;20170109;000000;3373;3392.5;3353;3384.5;303953;0
LKOH;D;20170110;000000;3372;3406.5;3368.5;3399;512965;0
LKOH;D;20170111;000000;3387.5;3404;3380.5;3394.5;302371;0
LKOH;D;20170112;000000;3404;3410;3287.5;3300;777973;0
LKOH;D;20170113;000000;3300;3319.5;3243.5;3290;631637;0
LKOH;D;20170116;000000;3295;3298;3236.5;3240;530947;0
LKOH;D;20170117;000000;3240;3259.5;3208;3233;589385;0
LKOH;D;20170118;000000;3240;3266;3202;3224;627609;0
LKOH;D;20170119;000000;3233;3239;3183.5;3195;632244;0
LKOH;D;20170120;000000;3192;3241.5;3177;3180;628003;0
LKOH;D;20170123;000000;3196;3196;3146.5;3176.5;420621;0
LKOH;D;20170124;000000;3185;3203;3147.5;3190;876239;0
LKOH;D;20170125;000000;3194;3219;3154;3215;751933;0
LKOH;D;20170126;000000;3218.5;3378.5;3218;3376.5;1450895;0
LKOH;D;20170127;000000;3372.5;3494;3335.5;3486;1409010;0
LKOH;D;20170130;000000;3470.5;3479.5;3397.5;3408;657283;0
LKOH;D;20170131;000000;3406;3424.5;3360;3370;731667;0
LKOH;D;20170201;000000;3375;3394;3346.5;3375;622620;0
LKOH;D;20170202;000000;3380;3405;3345;3364.5;606159;0
LKOH;D;20170203;000000;3372;3387;3347.5;3370.5;480672;0
LKOH;D;20170206;000000;3380.5;3384.5;3316.5;3338;704151;0
LKOH;D;20170207;000000;3337;3380;3308;3379;441264;0
LKOH;D;20170208;000000;3370;3377.5;3271;3299;891223;0
LKOH;D;20170209;000000;3311;3328;3256;3266.5;739024;0
