<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ROSN;D;20170103;000000;405;425.7;403.6;419.5;5896360;0
ROSN;D;20170104;000000;419;420;403.7;406.4;4162160;0
ROSN;D;20170105;000000;407.5;411.5;396.6;399;4827200;0
ROSN;D;20170106;000000;399;399.75;390.15;392.5;3659820;0
ROSN;D;20170109;000000;393.05;395.95;390.25;394;4478920;0
ROSN;D;20170110;000000;392.1;405.75;392.1;404.4;3735360;0
ROSN;D;20170111;000000;402.65;404.45;392;397.5;6234340;0
ROSN;D;20170112;000000;400.45;400.65;390.45;390.95;5057270;0
ROSN;D;20170113;000000;392;394.95;383.1;388;5325430;0
ROSN;D;20170116;000000;388;395.5;382;392.2;2894390;0
ROSN;D;20170117;000000;393.4;394.4;385.85;391.7;3732920;0
ROSN;D;20170118;000000;392;394.9;385.65;387;4342920;0
ROSN;D;20170119;000000;388;389.25;374.1;380.75;5709260;0
ROSN;D;20170120;000000;380.55;390.75;374.1;387.5;4238610;0
ROSN;D;20170123;000000;387.95;392;381.85;390.2;3541010;0
ROSN;D;20170124;000000;391.65;392.65;386.25;388.15;3030870;0
ROSN;D;20170125;000000;389.5;390.55;381;383.7;4236230;0
ROSN;D;20170126;000000;384;391.7;384;389;5104430;0
ROSN;D;20170127;000000;389;402;387.75;402;8883070;0
ROSN;D;20170130;000000;403;403;395.05;399;2382850;0
ROSN;D;20170131;000000;398;401.45;396.6;400.6;3424030;0
ROSN;D;20170201;000000;400.6;401.5;397.6;401.5;3676070;0
ROSN;D;20170202;000000;401.75;404.85;396.6;397.3;5201720;0
ROSN;D;20170203;000000;398.25;400;396.5;397.85;2202140;0
ROSN;D;20170206;000000;399.95;400.5;390.85;394;3404130;0
ROSN;D;20170207;000000;394;394.6;386.65;389.7;3135520;0
ROSN;D;20170208;000000;387.95;389.6;375.3;378.05;6771980;0
ROSN;D;20170209;000000;378.1;380.3;375;379.8;3082060;0
ROSN;D;20170210;000000;380.5;383.5;376.05;377.6;3668820;0
ROSN;D;20170213;000000;377;382.3;376.25;379;4441580;0
