<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
SBER;D;20170103;000000;173.4;181.68;173;180.12;53890400;0
SBER;D;20170104;000000;178.9;179.41;174.23;175.95;41400710;0
SBER;D;20170105;000000;176.31;177.28;171.54;171.9;35093040;0
SBER;D;20170106;000000;172.4;173.75;169.5;170.69;35415590;0
SBER;D;20170109;000000;171.37;172.39;168.05;168.35;35187380;0
SBER;D;20170110;000000;168.35;172.3;167.54;171.6;58874120;0
SBER;D;20170111;000000;171.5;173.05;168.54;169.05;52772790;0
SBER;D;20170112;000000;170;170.65;168.02;168.27;49854940;0
SBER;D;20170113;000000;168.79;172.39;163.88;164.9;85990570;0
SBER;D;20170116;000000;165.22;166.8;164.06;164.66;37577470;0
SBER;D;20170117;000000;164.67;166.47;163.34;165.98;45968310;0
SBER;D;20170118;000000;165.9;167.8;164.31;165.24;42479900;0
SBER;D;20170119;000000;165.46;166.99;164.69;166.3;38478840;0
SBER;D;20170120;000000;166.55;168.19;165.42;167.49;32581460;0
SBER;D;20170123;000000;167.33;167.33;164.53;166.75;36457470;0
SBER;D;20170124;000000;167.37;170.7;167.24;170.25;45397860;0
SBER;D;20170125;000000;170.5;171.3;169.5;170.26;42543080;0
SBER;D;20170126;000000;170.85;174.39;169.06;173.79;56105000;0
SBER;D;20170127;000000;173.89;178.92;173;178.92;71123150;0
SBER;D;20170130;000000;177.5;178;174.24;174.6;45935720;0
SBER;D;20170131;000000;174.37;175.27;172.07;172.2;46486680;0
SBER;D;20170201;000000;172.59;174.27;171.75;173.9;42252780;0
SBER;D;20170202;000000;173.94;174.69;171.95;172.83;31064430;0
SBER;D;20170203;000000;173.03;174.19;172.27;173.8;34744860;0
SBER;D;20170206;000000;174.71;174.98;172.22;172.87;33943730;0
SBER;D;20170207;000000;173;174.18;171.51;173.47;33506000;0
SBER;D;20170208;000000;173.2;173.2;170.77;171.2;33314310;0
SBER;D;20170209;000000;171.91;172.67;167.84;168.8;48730500;0
SBER;D;20170210;000000;169.05;170.45;165.4;165.5;59337100;0
SBER;D;20170213;000000;166.05;167.05;163.5;164.7;53028170;0
SBER;D;20170214;000000;164.99;165.14;162.01;162.7;54466800;0
SBER;D;20170215;000000;162.27;165.57;160;163.5;68808530;0
SBER;D;20170216;000000;164.4;166.5;162.21;166.49;44328980;0
SBER;D;20170217;000000;166.48;167.12;164.42;165.49;32616900;0
SBER;D;20170220;000000;166.4;166.69;163.93;165.44;26986270;0
SBER;D;20170221;000000;165.11;168.38;164.8;167;39649880;0
SBER;D;20170222;000000;167.5;168.3;164.35;165.9;40662980;0
SBER;D;20170224;000000;166.53;168.02;165.03;165.51;29704800;0
SBER;D;20170227;000000;166.01;166.34;160.62;160.95;41947190;0
SBER;D;20170228;000000;161.05;161.19;155.7;156;67919290;0
SBER;D;20170301;000000;155.65;160.92;155.65;160;62258970;0
SBER;D;20170302;000000;161.39;164.3;160.33;163.4;65453580;0
SBER;D;20170303;000000;162.95;164.89;161.61;164.4;38242710;0
SBER;D;20170306;000000;164.5;165.99;162;162;36845090;0
SBER;D;20170307;000000;162.41;162.41;158.9;160.98;44866990;0
SBER;D;20170309;000000;159.22;160.84;155.23;156.2;63696720;0
SBER;D;20170310;000000;157.32;159.4;155.55;157.5;51296630;0
SBER;D;20170313;000000;157.49;159.87;155.86;158.92;34087370;0
SBER;D;20170314;000000;159.5;160.75;157.02;157.42;59200290;0
SBER;D;20170315;000000;158.05;159.67;156.06;156.2;48858400;0
SBER;D;20170316;000000;157.82;159.85;157.82;158.35;68322520;0
SBER;D;20170317;000000;158.55;162.85;158.17;161.15;65470090;0
SBER;D;20170320;000000;161.57;164.05;160.61;163.8;41497240;0
SBER;D;20170321;000000;164.5;165.49;162.25;162.98;39831880;0
SBER;D;20170322;000000;162.01;162.92;159.75;162.92;40877170;0
SBER;D;20170323;000000;163.5;164.84;162.1;164.15;38722220;0
SBER;D;20170324;000000;164;165.9;163.07;164.52;33041260;0
SBER;D;20170327;000000;163.03;163.37;161.1;162.69;35418700;0
SBER;D;20170328;000000;163.5;164.1;162.05;163.66;30489200;0
SBER;D;20170329;000000;164;164.9;162.37;163.22;26160370;0
SBER;D;20170330;000000;163.32;164.1;161.9;163.5;24410850;0
SBER;D;20170331;000000;163.4;163.7;159.51;159.8;31639970;0
SBER;D;20170403;000000;160.77;162.94;159.84;161.8;32726400;0
SBER;D;20170404;000000;161.37;163.95;160.7;163.5;23333230;0
SBER;D;20170405;000000;164.33;168.45;163.82;168.1;57753380;0
SBER;D;20170406;000000;167.54;168.19;166.41;167.49;24422020;0
SBER;D;20170407;000000;166.12;166.84;160.71;161.49;59739010;0
SBER;D;20170410;000000;161;161.39;154.51;155.2;73718410;0
SBER;D;20170411;000000;155.2;158.59;154.61;156;53342100;0
SBER;D;20170412;000000;157;157.44;150.28;150.28;53279800;0
SBER;D;20170413;000000;151.57;153.35;149.7;152;70013640;0
SBER;D;20170414;000000;150.42;152.25;148.6;149.24;25092420;0
SBER;D;20170417;000000;149.44;154.2;147.62;153.99;48418090;0
SBER;D;20170418;000000;154.44;155.59;152.15;153.4;60882590;0
SBER;D;20170419;000000;153.18;155.38;152.36;153.6;38955390;0
SBER;D;20170420;000000;153;158.4;152.26;158.21;64127430;0
SBER;D;20170421;000000;158.74;160.3;157.8;159.59;57187090;0
SBER;D;20170424;000000;161.09;163.43;161;162.5;48021380;0
SBER;D;20170425;000000;163;163.53;161.31;162.55;40534410;0
SBER;D;20170426;000000;163.08;165.8;161.7;165.05;49259630;0
SBER;D;20170427;000000;164.99;165.79;163.27;164.69;43712420;0
SBER;D;20170428;000000;165.5;166;163.91;165.2;40999710;0
SBER;D;20170502;000000;166;168.34;165.01;166.64;42498180;0
SBER;D;20170503;000000;166.3;166.5;163.63;164.71;33570350;0
SBER;D;20170504;000000;164.62;167.4;163.78;165.5;37623080;0
SBER;D;20170505;000000;164.22;166.6;164;165.8;35495540;0
SBER;D;20170510;000000;167;170.8;166.41;170.8;46474510;0
SBER;D;20170511;000000;171;172.39;168.84;169.97;56593530;0
SBER;D;20170512;000000;169.75;170.43;166.85;167.7;37355540;0
SBER;D;20170515;000000;168.5;171.68;167.89;171.35;47099400;0
SBER;D;20170516;000000;170.97;172;169.98;170.66;37205990;0
SBER;D;20170517;000000;169.8;170.63;168.17;169.24;35218260;0
SBER;D;20170518;000000;168.41;169.17;164.7;166.5;57482410;0
SBER;D;20170519;000000;167.48;170.08;165.71;168.87;36552330;0
SBER;D;20170522;000000;170.5;170.5;167.14;168.03;29679120;0
SBER;D;20170523;000000;167.87;168.3;165.4;166.31;39501140;0
SBER;D;20170524;000000;166.8;168.48;162.51;165.7;46891970;0
SBER;D;20170525;000000;166.5;166.95;163.53;164.05;34373440;0
SBER;D;20170526;000000;163.8;163.8;160.62;160.7;46062750;0
SBER;D;20170529;000000;161;164.22;160.69;163.9;28741460;0
SBER;D;20170530;000000;163.15;163.45;161.17;161.64;22672890;0
SBER;D;20170531;000000;161.6;161.6;155.03;155.93;74365770;0
SBER;D;20170601;000000;156.4;156.76;152.72;153;50590080;0
SBER;D;20170602;000000;153;157.14;151.62;157.14;65420920;0
SBER;D;20170605;000000;157.1;158.89;154.43;154.7;48595070;0
SBER;D;20170606;000000;154.49;156;152.11;152.8;34673910;0
SBER;D;20170607;000000;153.3;155.11;151.75;152.82;43663590;0
SBER;D;20170608;000000;153.16;153.43;148.25;151.93;67991950;0
SBER;D;20170609;000000;151.41;153.75;150.12;150.13;45312560;0
