<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
VTBR;D;20170103;000000;0.0738;0.0745;0.07326;0.07401;17909210000;0
VTBR;D;20170104;000000;0.07398;0.07433;0.07275;0.07315;13480260000;0
VTBR;D;20170105;000000;0.07326;0.07332;0.07105;0.07149;14362700000;0
VTBR;D;20170106;000000;0.07155;0.07155;0.0708;0.07097;11619480000;0
VTBR;D;20170109;000000;0.07134;0.07187;0.07033;0.07058;8232030000;0
VTBR;D;20170110;000000;0.07079;0.0714;0.0704;0.07125;17928930000;0
VTBR;D;20170111;000000;0.07106;0.07175;0.06992;0.07021;17917390000;0
VTBR;D;20170112;000000;0.07047;0.07047;0.06931;0.06955;11410060000;0
VTBR;D;20170113;000000;0.0697;0.06995;0.06841;0.06925;16567840000;0
VTBR;D;20170116;000000;0.0693;0.07027;0.0689;0.06941;7946350000;0
VTBR;D;20170117;000000;0.06956;0.06989;0.0691;0.06921;6149710000;0
VTBR;D;20170118;000000;0.0697;0.06974;0.06837;0.06861;22285370000;0
VTBR;D;20170119;000000;0.06862;0.06899;0.0684;0.06869;12391080000;0
VTBR;D;20170120;000000;0.06865;0.06891;0.06806;0.06843;8085880000;0
VTBR;D;20170123;000000;0.0687;0.0687;0.06785;0.06868;7105970000;0
VTBR;D;20170124;000000;0.06868;0.0693;0.06836;0.0685;12882230000;0
VTBR;D;20170125;000000;0.06865;0.0692;0.06827;0.0685;12128170000;0
VTBR;D;20170126;000000;0.0687;0.06995;0.06862;0.06909;28668990000;0
VTBR;D;20170127;000000;0.06937;0.07015;0.06885;0.0697;28131940000;0
VTBR;D;20170130;000000;0.06985;0.07075;0.06935;0.0694;14944670000;0
VTBR;D;20170131;000000;0.0693;0.0697;0.06851;0.06897;9945400000;0
VTBR;D;20170201;000000;0.06899;0.06949;0.06882;0.06947;6809580000;0
VTBR;D;20170202;000000;0.06948;0.0696;0.06868;0.06909;7276010000;0
